BB-B1-B1-01
BB-B1-B1-01
X,Y,COMP,B,F1-1,F1-2,F1-3,F2,F3,IR,F4,IV,W1,W2,C,W
5,1,5001,82,2.209,3.0177,2.1787,2.3983,2.4822,0.0074,2.9089,105.5957,0.2746,0.2489,2,446.7512
6,1,6001,82,2.2807,3.028,2.2474,2.4198,2.4945,0.0078,2.921,104.6629,0.2745,0.2461,2,446.3389
7,1,7001,82,2.2756,3.0315,2.2445,2.4156,2.4902,0.0096,2.9234,105.0353,0.2733,0.2467,2,447.0987
8,1,8001,82,2.1932,3.0182,2.1634,2.3917,2.4753,0.0034,2.9048,105.8508,0.2738,0.2493,2,447.3732
9,1,9001,82,2.2231,3.0204,2.1926,2.4031,2.4848,0.0014,2.9089,106.242,0.2745,0.2474,2,446.6774
10,1,10001,82,2.2277,2.9869,2.1999,2.4031,2.484,0.0177,2.8888,105.6685,0.2731,0.2473,2,447.0252
11,1,11001,82,2.2162,2.9833,2.1865,2.3996,2.4816,0.006,2.8863,106.1074,0.2737,0.247,2,447.2308
12,1,12001,82,2.2145,2.9788,2.1847,2.3941,2.4782,0.0101,2.8828,103.875,0.275,0.2495,2,447.8185
13,1,13001,82,2.2341,2.9831,2.2052,2.4032,2.4855,0.0214,2.8877,104.023,0.275,0.2483,2,446.7284
14,1,14001,82,2.2311,2.994,2.2025,2.4077,2.4883,0.0203,2.8956,105.0359,0.2735,0.2451,3,447.0847
15,1,15001,82,2.219,2.9869,2.1887,2.4002,2.483,0.0054,2.8895,107.8027,0.2755,0.2525,1,446.7778
16,1,16001,82,2.215,2.9869,2.1851,2.3993,2.4823,0.0073,2.889,106.1416,0.2744,0.2458,3,446.8299
17,1,17001,82,2.2125,2.9857,2.1849,2.3986,2.4816,0.0122,2.8882,104.6103,0.2724,0.243,3,446.9792
18,1,18001,82,2.2069,2.9862,2.1776,2.3982,2.482,0.009,2.8878,106.0722,0.2733,0.2453,3,446.868
19,1,19001,82,2.2106,2.9874,2.1799,2.402,2.4857,0.0133,2.89,105.8098,0.2727,0.246,3,447.0847
