AA-A1-A1-02
AA-A1-A1-02
X,Y,COMP,B,F1-1,F1-2,F1-3,F2,F3,IR,F4,IV,W1,W2,C,W
0,0,0,3,2.2731,3.028,2.2427,2.4205,2.4939,0.0079,2.9215,109.1992,0.2714,0.2442,3,447.0827
1,0,1000,3,2.2785,3.0247,2.2489,2.4214,2.495,0.0675,2.9193,109.4207,0.2726,0.244,3,447.497
2,0,2000,3,2.2748,3.0243,2.2446,2.4203,2.4944,0.0612,2.9179,108.8313,0.2714,0.2442,3,447.4729
3,0,3000,3,2.2721,3.0247,2.2396,2.419,2.4932,0.0036,2.9185,109.4094,0.2713,0.2437,3,447.6617
4,0,4000,3,2.2693,3.0237,2.2368,2.4189,2.4932,0.0026,2.9169,108.8212,0.2715,0.2445,3,447.6368
5,0,5000,3,2.2609,3.0241,2.2301,2.4176,2.492,0.0512,2.9172,109.3146,0.273,0.245,3,447.5928
6,0,6000,3,2.2752,3.0242,2.2451,2.4183,2.4921,0.0201,2.9167,108.9175,0.2718,0.2445,3,447.5671
7,0,7000,3,2.2635,3.0239,2.2318,2.4204,2.4946,0.0323,2.9179,108.4477,0.2714,0.2422,3,447.3246
8,0,8000,3,2.2788,3.0244,2.2471,2.4232,2.4971,0.0166,2.9185,108.5641,0.2729,0.2457,3,446.8212
9,0,9000,3,2.2674,3.0251,2.2336,2.4176,2.4916,0.0106,2.9182,109.9513,0.2708,0.2441,3,447.3173
10,0,10000,3,2.2863,3.0296,2.2552,2.4228,2.4959,0.0173,2.9215,109.4975,0.2733,0.2454,3,446.4989
11,0,11000,82,2.2864,3.0175,2.2569,2.4243,2.4973,0.0303,2.9141,107.6849,0.2725,0.244,3,447.0847
12,0,12000,82,2.26,3.0427,2.2236,2.4154,2.4905,0.0333,2.9326,107.0754,0.272,0.2435,3,446.6162
13,0,13000,3,2.2749,3.0188,2.2423,2.412,2.4855,0.0073,2.9104,109.6137,0.2713,0.245,3,447.9385
14,0,14000,3,2.2617,3.0346,2.227,2.4144,2.489,0.0207,2.9254,109.4439,0.2723,0.246,3,448.076
15,0,15000,82,2.2677,3.0445,2.2308,2.4206,2.4949,0.0017,2.9352,107.5691,0.2722,0.2421,3,446.5902
16,0,16000,82,2.2446,3.0344,2.2074,2.4152,2.4904,0.0028,2.9256,107.3614,0.272,0.2431,3,447.0575
17,0,17000,3,2.267,3.0395,2.2351,2.419,2.4935,0.0265,2.9304,109.9368,0.2735,0.2452,3,447.2495
18,0,18000,2,2.267,3.041,2.2347,2.4189,2.4933,0.0594,2.93,110.4374,0.2742,0.247,2,447.1038
19,0,19000,82,2.2327,3.0076,2.1941,2.4096,2.4855,0.0252,2.9063,107.8354,0.274,0.2494,2,447.3732
20,0,20000,4,2.2758,3.0409,2.243,2.4204,2.4954,0.007,2.9291,108.5765,0.271,0.2401,4,446.1187
21,0,21000,3,2.2768,3.0262,2.2439,2.4181,2.492,0.0086,2.9176,109.1779,0.2715,0.2432,3,447.0227
22,0,22000,3,2.2808,3.0259,2.2477,2.4179,2.4915,0.0101,2.9174,109.4714,0.2732,0.2454,3,447.2827
