AA-A1-A1-01
AA-A1-A1-01
X,Y,COMP,B,F1-1,F1-2,F1-3,F2,F3,IR,F4,IV,W1,W2,C,W
4,1,4001,2,2.2694,3.0189,2.2388,2.4084,2.4826,0.0213,2.9092,109.2252,0.2719,0.2474,2,448.1998
5,1,5001,3,2.2771,3.0247,2.2449,2.4184,2.4921,0.0027,2.9178,108.3238,0.2726,0.2452,3,446.7869
6,1,6001,82,2.283,3.0186,2.2515,2.4225,2.4959,0.0895,2.9156,106.489,0.2718,0.241,3,447.0847
7,1,7001,82,2.2514,3.0241,2.219,2.4171,2.4918,0.0094,2.9197,107.8161,0.2723,0.2467,3,447.5948
8,1,8001,3,2.2742,3.0217,2.2436,2.4157,2.4897,0.0167,2.9153,108.8688,0.2728,0.2458,3,447.4493
9,1,9001,82,2.2751,3.0238,2.2421,2.4171,2.4914,0.0097,2.9166,107.4642,0.2726,0.2445,3,447.1483
10,1,10001,3,2.2705,3.0211,2.2367,2.4201,2.4945,0.0265,2.916,108.0098,0.2722,0.2436,3,447.0454
11,1,11001,3,2.2634,3.0234,2.2301,2.4201,2.4946,0.0006,2.9176,108.1655,0.272,0.2442,3,447.0346
12,1,12001,3,2.2687,3.0207,2.2361,2.4158,2.4903,0.1408,2.915,108.2095,0.2718,0.2438,3,447.6645
13,1,13001,82,2.2515,3.0178,2.2204,2.4144,2.4895,0.0161,2.9123,107.8009,0.2726,0.2452,3,447.8595
14,1,14001,3,2.2753,3.0237,2.2438,2.419,2.4932,0.0102,2.9181,108.5905,0.2734,0.2451,3,447.2188
15,1,15001,82,2.2649,3.0192,2.2314,2.4147,2.4895,0.0091,2.9129,107.5823,0.272,0.2442,3,447.8025
16,1,16001,3,2.2629,3.0199,2.2307,2.4157,2.4902,0.0085,2.914,108.3882,0.272,0.2449,3,447.7724
17,1,17001,3,2.2743,3.0243,2.2428,2.4202,2.4945,0.0217,2.9179,108.6535,0.2721,0.2434,3,446.9922
18,1,18001,3,2.2571,3.0216,2.2216,2.4162,2.4907,0.0019,2.9156,108.8117,0.2715,0.2448,3,447.3892
19,1,19001,3,2.2733,3.0223,2.2403,2.415,2.4893,0.0055,2.9144,108.8039,0.2724,0.2448,3,447.6447
20,1,20001,82,2.263,3.0197,2.231,2.4205,2.495,0.0113,2.9154,107.5967,0.2713,0.241,4,446.7528
21,1,21001,3,2.2558,3.0247,2.2224,2.415,2.4897,0.0196,2.9192,108.6157,0.2725,0.2468,3,447.8255
22,1,22001,3,2.2765,3.0214,2.2436,2.4154,2.4893,0.0028,2.9145,108.454,0.2712,0.2434,3,447.3335
23,1,23001,3,2.2766,3.0233,2.2441,2.417,2.4911,0.0194,2.9158,108.6074,0.2732,0.2443,3,446.8201
24,1,24001,82,2.2235,3.0033,2.1852,2.4024,2.4786,0.0546,2.9021,107.3882,0.2731,0.2509,2,449.4956
25,1,25001,3,2.2639,3.0371,2.2265,2.4186,2.4937,0.0206,2.9286,108.578,0.273,0.2456,3,446.5178
26,1,26001,3,2.2683,3.0388,2.2343,2.4181,2.4928,0.0246,2.9304,109.7929,0.2718,0.2454,3,447.2563
27,1,27001,3,2.2605,3.039,2.2273,2.4171,2.4921,0.0112,2.9299,109.3457,0.2719,0.244,3,447.2323
28,1,28001,2,2.2651,3.0328,2.231,2.418,2.493,0.1232,2.9268,108.4751,0.2728,0.2469,2,446.5718
29,1,29001,82,2.2209,2.9996,2.186,2.402,2.4787,0.0711,2.8996,106.3085,0.2698,0.2441,3,449.2347
30,1,30001,2,2.277,3.0192,2.247,2.414,2.4876,0.0236,2.9116,109.4225,0.2726,0.2471,2,447.515
31,1,31001,3,2.2696,3.0246,2.2376,2.4173,2.4912,0.0172,2.9167,109.2008,0.2728,0.2449,3,446.9913
32,1,32001,82,2.2548,3.0207,2.2212,2.4174,2.492,0.0096,2.9177,107.1721,0.2712,0.2432,3,447.4187
33,1,33001,3,2.276,3.0215,2.2419,2.4209,2.4949,0.0095,2.9158,108.415,0.2721,0.2431,3,446.7112
34,1,34001,3,2.2732,3.0228,2.2422,2.416,2.4899,0.0281,2.9158,109.11,0.272,0.2464,3,447.3759
35,1,35001,82,2.2723,3.0232,2.2408,2.416,2.4904,0.0192,2.9155,107.5825,0.2704,0.241,4,447.3299
36,1,36001,82,2.2687,3.0202,2.2379,2.4169,2.4916,0.0209,2.9143,107.904,0.2711,0.2425,3,447.5063
